1,Murilo Mário Drumond,36,434.752.878-70,22.539.570-8,1987-02-15 00:00:00.0,Masculino,Aquário,Juliana Flávia,Martin Pedro Drumond,murilo_drumond@policiamilitar.sp.gov.br,Dq87SLjpgo,56323-370,Rua do Mérito,426,Dom Avelar,Petrolina,PE,(87) 2877-9438,(87) 98648-7336,1.72,76.0,A+,vermelho
2,Mateus Carlos Benjamin das Neves,25,653.115.041-61,17.020.006-1,1998-01-24 00:00:00.0,Masculino,Aquário,Joana Jéssica,Nathan Ian Rodrigo das Neves,mateus_dasneves@megapremiumvip.com,sbLpP5USNC,68551-535,Avenida Antonio Luiz Testa,298,Jardim América,Redenção,PA,(94) 3878-7121,(94) 99941-4075,1.97,106.0,AB+,laranja
3,Henrique Kevin Caio da Paz,52,035.641.684-43,12.557.426-5,1971-03-22 00:00:00.0,Masculino,Áries,Olivia Giovana,Joaquim Enzo da Paz,henriquekevindapaz@cotamtambores.com.br,jokBrMNq44,85601-164,Rua Pedro Gazola,871,Marrecas,Francisco Beltrão,PR,(46) 2717-1723,(46) 98878-3578,1.77,65.0,B+,laranja
4,Bento Luís Campos,48,245.897.291-80,45.146.875-2,1975-01-06 00:00:00.0,Masculino,Capricórnio,Analu Elza,Breno Henrique Kauê Campos,bento.luis.campos@domain.com.br,q6fBc6N7dp,49065-500,Praça Liberato Costa,581,Industrial,Aracaju,SE,(79) 2613-1409,(79) 99484-3885,1.97,96.0,A+,verde
5,Paulo Pietro Caldeira,26,527.216.918-21,13.005.157-3,1997-02-02 00:00:00.0,Masculino,Aquário,Lívia Mirella,Kauê Bernardo Cláudio Caldeira,paulo_pietro_caldeira@diebold.com,qUcJfkFEa2,76876-586,Avenida Rio Branco,973,Jardim das Palmeiras,Ariquemes,RO,(69) 2917-4224,(69) 98915-1573,1.6,93.0,O+,roxo
6,Rodrigo Felipe Corte Real,38,881.706.982-51,33.653.471-1,1985-01-20 00:00:00.0,Masculino,Capricórnio,Josefa Mirella,Caio Juan Corte Real,rodrigofelipecortereal@bzness.com.br,dE3TGxJtJg,13059-636,Rua Ivo Cipriano,426,Cidade Satélite Íris,Campinas,SP,(19) 3862-9686,(19) 98267-6002,1.77,104.0,A+,vermelho
7,Ester Laís Nogueira,67,344.809.160-08,24.337.823-3,1956-03-08 00:00:00.0,Feminino,Peixes,Gabriela Alice Patrícia,Renan Leonardo Nogueira,ester.lais.nogueira@alemponte.com.br,OOb7h8DYGg,58064-784,Rua Estudante Josimar de Almeida Silva,487,Valentina de Figueiredo,João Pessoa,PB,(83) 2892-5101,(83) 99264-5661,1.84,68.0,B-,roxo
8,Ricardo Cauã da Cunha,30,640.666.776-06,14.255.570-8,1993-01-14 00:00:00.0,Masculino,Capricórnio,Larissa Rafaela Laura,Kevin Yuri da Cunha,ricardo.caua.dacunha@consorciobcv.com.br,GmCt9Gfoc3,75804-057,Rua Itarumã,805,Samuel Grahan,Jataí,GO,(64) 2880-6268,(64) 98453-6084,1.77,79.0,A+,amarelo
9,Louise Bianca Silveira,58,829.313.139-04,35.808.031-9,1965-02-10 00:00:00.0,Feminino,Aquário,Lavínia Emanuelly,Edson Juan Silveira,louise_bianca_silveira@sfreitasadvogados.com.br,EIuFHyF5Il,41385-010,Rua Léa Ariane,299,Sete de Abril,Salvador,BA,(71) 2551-2159,(71) 99977-4030,1.77,84.0,B-,laranja
10,Bianca Raimunda Mendes,31,804.547.463-77,49.725.579-0,1992-04-12 00:00:00.0,Feminino,Áries,Lúcia Gabriela Nicole,Elias Fábio Rafael Mendes,bianca_raimunda_mendes@hormail.com,gj77eh45CC,76913-607,Rua Sena Madureira,807,São Pedro,Ji-Paraná,RO,(69) 2934-9292,(69) 99139-7534,1.71,74.0,A-,verde
11,Jennifer Marlene Daiane Assis,26,312.720.044-73,21.807.226-0,1997-02-05 00:00:00.0,Feminino,Aquário,Giovanna Gabrielly Simone,Geraldo Isaac Thomas Assis,jennifer_assis@id.uff.br,GiKU7ebAyr,64011-215,Rua Rosana Neres,135,Santa Rosa,Teresina,PI,(86) 3862-2752,(86) 98847-4867,1.73,53.0,AB+,roxo
12,Patrícia Juliana Sales,29,812.303.662-02,31.332.577-7,1994-02-04 00:00:00.0,Feminino,Aquário,Ana Ayla,Marcelo Luís Sales,patriciajulianasales@sent.com,B7czjgZtA7,23052-060,Rua Professor José Oiticica,468,Campo Grande,Rio de Janeiro,RJ,(21) 3564-1846,(21) 98449-1985,1.5,62.0,A+,laranja
13,Emanuelly Liz Lúcia Peixoto,61,086.629.335-30,20.177.220-6,1962-02-08 00:00:00.0,Feminino,Aquário,Luzia Emilly,Marcos Fernando Peixoto,emanuelly.liz.peixoto@yahoo.fr,pwjUHCGsBJ,79118-712,Rua Varginhas,131,São Francisco,Campo Grande,MS,(67) 3804-0182,(67) 99277-8416,1.7,88.0,A-,vermelho
14,Valentina Luiza Rezende,40,708.999.907-62,36.211.792-5,1983-03-05 00:00:00.0,Feminino,Peixes,Daiane Sabrina Lavínia,Luiz Leonardo Heitor Rezende,valentina-rezende86@deltaturismo.com.br,5jna59UzAz,74484-636,Rua 9,407,Condomínio Anhanguera,Goiânia,GO,(62) 2936-8621,(62) 98644-6970,1.59,70.0,AB+,vermelho
15,Eliane Alana Rafaela Ferreira,37,133.268.989-24,47.337.472-9,1986-04-05 00:00:00.0,Feminino,Áries,Sandra Vitória,Luan Jorge Henry Ferreira,eliane_ferreira@odebrecht.com,hucKzKoiMe,69905-703,Rua Cearense,626,Invasão da Seis de Agosto,Rio Branco,AC,(68) 2787-3108,(68) 99318-1757,1.54,71.0,A+,roxo
16,Iago Luan Jesus,70,023.913.052-90,15.471.829-4,1953-03-23 00:00:00.0,Masculino,Áries,Márcia Manuela,Diego Fernando Manoel Jesus,iago.luan.jesus@acramisper.com,s430I0HJOB,59125-040,Rua Itamuri,426,Potengi,Natal,RN,(84) 2609-9627,(84) 99113-6056,1.78,51.0,B-,vermelho
17,Patrícia Laís Eduarda Viana,74,499.065.907-42,13.978.263-1,1949-02-18 00:00:00.0,Feminino,Aquário,Nair Lorena,Oliver Thomas Viana,patricia_viana@gmindustria.com.br,0F0wmlAGQ4,64007-852,Rua David Cavalcante,214,Itaperu,Teresina,PI,(86) 2672-3147,(86) 99389-1699,1.77,82.0,B+,vermelho
